idx,datetime,path
0,2026-06-05 14:14:42,dataset/treatment1/cam1/20260605_141442.mp4
1,2026-06-05 16:01:03,dataset/treatment1/cam1/20260605_160103.mp4
2,2026-06-05 17:51:03,dataset/treatment1/cam1/20260605_175103.mp4
3,2026-06-05 19:41:03,dataset/treatment1/cam1/20260605_194103.mp4
4,2026-06-05 21:31:03,dataset/treatment1/cam1/20260605_213103.mp4
5,2026-06-05 23:21:02,dataset/treatment1/cam1/20260605_232102.mp4
6,2026-06-06 01:11:03,dataset/treatment1/cam1/20260606_011103.mp4
7,2026-06-06 03:01:03,dataset/treatment1/cam1/20260606_030103.mp4
8,2026-06-06 04:51:03,dataset/treatment1/cam1/20260606_045103.mp4
9,2026-06-06 06:41:03,dataset/treatment1/cam1/20260606_064103.mp4
10,2026-06-06 08:31:03,dataset/treatment1/cam1/20260606_083103.mp4
11,2026-06-06 10:21:03,dataset/treatment1/cam1/20260606_102103.mp4
12,2026-06-06 12:11:03,dataset/treatment1/cam1/20260606_121103.mp4
13,2026-06-06 14:01:03,dataset/treatment1/cam1/20260606_140103.mp4
14,2026-06-06 15:51:03,dataset/treatment1/cam1/20260606_155103.mp4
15,2026-06-06 17:41:03,dataset/treatment1/cam1/20260606_174103.mp4
16,2026-06-06 19:31:03,dataset/treatment1/cam1/20260606_193103.mp4
17,2026-06-06 21:21:03,dataset/treatment1/cam1/20260606_212103.mp4
18,2026-06-06 23:11:03,dataset/treatment1/cam1/20260606_231103.mp4
19,2026-06-07 01:01:03,dataset/treatment1/cam1/20260607_010103.mp4
20,2026-06-07 02:51:03,dataset/treatment1/cam1/20260607_025103.mp4
21,2026-06-07 04:41:03,dataset/treatment1/cam1/20260607_044103.mp4
22,2026-06-07 06:33:03,dataset/treatment1/cam1/20260607_063303.mp4
23,2026-06-07 08:23:03,dataset/treatment1/cam1/20260607_082303.mp4
24,2026-06-07 10:13:03,dataset/treatment1/cam1/20260607_101303.mp4
25,2026-06-07 12:03:03,dataset/treatment1/cam1/20260607_120303.mp4
26,2026-06-07 13:53:03,dataset/treatment1/cam1/20260607_135303.mp4
27,2026-06-07 15:43:03,dataset/treatment1/cam1/20260607_154303.mp4
28,2026-06-07 17:33:03,dataset/treatment1/cam1/20260607_173303.mp4
29,2026-06-07 19:23:03,dataset/treatment1/cam1/20260607_192303.mp4
